"","date","var","lwr","med","upr","trim","convergence_code","province_name","province","value","type"
"290",2020-11-26,"ICU",61.95,77,91,"full",0,"Alberta","AB",84,"fit"
"291",2020-11-26,"death",8.95,15,22,"full",0,"Alberta","AB",10,"fit"
"292",2020-11-26,"report",1412.8,1539,1669.05,"full",0,"Alberta","AB",1077,"fit"
"293",2020-11-27,"H",281,312,346,"full",0,"Alberta","AB",319,"fit"
"294",2020-11-27,"ICU",65,80,96.05,"full",0,"Alberta","AB",86,"fit"
"295",2020-11-27,"death",9,15,22,"full",0,"Alberta","AB",9,"fit"
"296",2020-11-27,"report",1423.95,1562,1700.1,"full",0,"Alberta","AB",1227,"fit"
"297",2020-11-28,"H",290.9,323,359,"full",0,"Alberta","AB",327,"fit"
"298",2020-11-28,"ICU",69,83.5,101,"full",0,"Alberta","AB",88,"fit"
"299",2020-11-28,"death",9,15.5,23,"full",0,"Alberta","AB",5,"fit"
"300",2020-11-28,"report",1451.8,1580.5,1711.1,"full",0,"Alberta","AB",1731,"fit"
"301",2020-11-29,"H",302,336,372.05,"full",0,"Alberta","AB",340,"fit"
"302",2020-11-29,"ICU",70,86,103,"full",0,"Alberta","AB",95,"fit"
"303",2020-11-29,"death",10,16,23,"full",0,"Alberta","AB",9,"fit"
"304",2020-11-29,"report",1481.85,1599.5,1735.2,"full",0,"Alberta","AB",1608,"fit"
"305",2020-11-30,"H",314,349,387,"full",0,"Alberta","AB",357,"fit"
"306",2020-11-30,"ICU",72,89,107,"full",0,"Alberta","AB",96,"fit"
"307",2020-11-30,"death",10,16,24,"full",0,"Alberta","AB",8,"fit"
"308",2020-11-30,"report",1502.95,1633,1763.05,"full",0,"Alberta","AB",1733,"fit"
"309",2020-12-01,"H",319,362,401.05,"full",0,"Alberta","AB",382,"fit"
"310",2020-12-01,"ICU",76.95,92,107.05,"full",0,"Alberta","AB",97,"fit"
"311",2020-12-01,"death",10,16.5,24,"full",0,"Alberta","AB",10,"fit"
"312",2020-12-01,"report",1529,1644,1788,"full",0,"Alberta","AB",1307,"fit"
"313",2020-12-02,"H",336,374,415,"full",0,"Alberta","AB",407,"fit"
"314",2020-12-02,"ICU",79.95,95,112.05,"full",0,"Alberta","AB",97,"fit"
"315",2020-12-02,"death",11,17,24,"full",0,"Alberta","AB",10,"fit"
"316",2020-12-02,"report",1529,1670,1785.05,"full",0,"Alberta","AB",1685,"fit"
"317",2020-12-03,"H",348.9,389,426,"full",0,"Alberta","AB",414,"fit"
"318",2020-12-03,"ICU",83,98,114,"full",0,"Alberta","AB",97,"fit"
"319",2020-12-03,"death",11,17,25,"full",0,"Alberta","AB",14,"fit"
"320",2020-12-03,"report",1563.95,1683,1808.1,"full",0,"Alberta","AB",1854,"fit"
"321",2020-12-04,"H",358.95,398,442,"full",0,"Alberta","AB",434,"fit"
"322",2020-12-04,"ICU",81.95,100,119,"full",0,"Alberta","AB",99,"fit"
